year,month,mp,cbi,lip,lcpi,lsp500,ebp,gs1
1989,1,,,412.98355722615315,479.74420736352135,565.3926742971297,0.4468822,9.05
1989,2,,,412.5384467735734,480.07369695320665,568.3613780365674,0.2897999,9.25
1989,3,,,412.7953404395869,480.5659046737495,567.9182357787968,0.5274453,9.57
1989,4,,,412.760040547296,481.2997033190408,571.1254489494902,0.6286969,9.36
1989,5,,,412.2074832876831,481.78592793984427,574.9170031119376,0.4435934,8.98
1989,6,,,412.20521374366683,482.10876922105615,577.9848053257002,0.7109236,8.44
1989,7,,,411.23416389237553,482.4305715904762,580.4924103312405,0.9570043,7.89
1989,8,,,412.2035926092618,482.4305715904762,584.8200228567554,0.6917687,8.18
1989,9,,,411.8702159351465,482.6712455935327,585.0275336670169,0.6951949,8.22
1989,10,,,411.74326361960823,483.15086281988204,585.0476853807004,0.6066308,7.99
1989,11,,,412.0793355401454,483.54879410503014,582.9592467181436,0.6789326,7.77
1989,12,,,412.64696480273545,483.86600293564453,585.383907086288,0.5812494,7.72
1990,1,,,412.1233135907766,484.8116364598481,582.8857378423127,0.3125697,7.92
1990,2,0.00879682,-0.00930109,413.02762185069247,485.2030263919617,580.0455361916462,0.4295162,8.11
1990,3,-0.00279028,-0.02374881,413.50321477098663,485.67068118035183,582.4435462132321,0.4587967,8.35
1990,4,0.0,0.0,413.2781314312041,485.9036909945142,582.3578298110283,0.1945614,8.4
1990,5,-0.00895468,-0.00286764,413.57311973028675,486.05872978525963,585.8647185217117,0.0934677,8.32
1990,6,0.0,0.0,413.91251113164316,486.6764923676554,588.7186778401394,0.1514804,8.1
1990,7,-0.03687864,-0.03303149,413.74599249619644,487.13732267627483,588.618736131146,0.0737077,7.94
1990,8,-0.0117553,0.0117553,414.1075464709707,487.97670188912167,580.1362802995066,-0.205866,7.78
1990,9,0.0,0.0,414.1290169098374,488.65826454262765,575.3873379796771,-0.002514,7.76
1990,10,0.03268122,-0.04398406,413.5123355809209,489.33521334815237,572.7238550692542,0.2266309,7.55
1990,11,0.02263789,-0.01824147,412.25675211658404,489.55984841078975,575.349285022186,0.3018571,7.31
1990,12,-0.12283687,-0.02303986,411.5592223385132,489.93312245375813,579.5297583491974,0.3948191,7.05
1991,1,-0.08348146,-0.04038844,411.22532402653934,490.3050083416319,578.5331739210488,0.4329496,6.64
1991,2,-0.06157685,-0.06169719,410.4933303109596,490.37921984782065,589.236218606477,0.333044,6.27
1991,3,-0.08705614,-0.01465499,409.92873266112565,490.37921984782065,591.964625931751,0.2625315,6.4
1991,4,-0.13024134,-0.05469361,410.18562785059396,490.6015244966153,593.9328792687453,0.2160044,6.24
1991,5,0.01578266,-0.01311561,411.18356965461845,490.97093755062946,593.4867740243193,0.2021066,6.13
1991,6,0.0,0.0,411.98725981069566,491.26548857360524,593.5661097242545,0.1047154,6.36
1991,7,0.00650962,0.00587459,412.26096477139976,491.41243937154115,594.0776332780458,0.2187326,6.31
1991,8,-0.0733355,-0.01579275,412.2752216710342,491.70569471366895,596.4607092938099,0.1556082,5.78
1991,9,0.00241251,-0.00015026,413.0948071431773,491.9980925828125,595.8941355402421,0.1756257,5.57
1991,10,-0.00908938,-0.01125064,412.990152073328,492.14397152917843,595.8114567426428,0.1756065,5.33
